RFID,SERIAL,SIZE,CartType,BORN_DATE
130225065038000213605904,0213605904,96,Recycle,2/25/2013 6:51
130225064947000213605900,0213605900,96,Recycle,2/25/2013 6:50
130225064916000213605903,0213605903,96,Recycle,2/25/2013 6:49
130225064849000213605902,0213605902,96,Recycle,2/25/2013 6:49
130225063727000213605901,0213605901,96,Recycle,2/25/2013 6:37
130225063645000213605897,0213605897,96,Recycle,2/25/2013 6:37
130225063555000213605899,0213605899,96,Recycle,2/25/2013 6:36
130225063518000213605898,0213605898,96,Recycle,2/25/2013 6:35
130225063405000213605896,0213605896,96,Recycle,2/25/2013 6:35
130225063326000213605892,0213605892,96,Recycle,2/25/2013 6:34
130225063137000213605894,0213605894,96,Recycle,2/25/2013 6:32
130225063050000213605893,0213605893,96,Recycle,2/25/2013 6:31
130225062947000213605895,0213605895,96,Recycle,2/25/2013 6:30
130225061559000213605890,0213605890,96,Recycle,2/25/2013 6:17
130225060458000213605881,0213605881,96,Recycle,2/25/2013 6:05
130225060325000213605889,0213605889,96,Recycle,2/25/2013 6:04
130225060234000213605888,0213605888,96,Recycle,2/25/2013 6:03
130225060131000213605884,0213605884,96,Recycle,2/25/2013 6:02
130225060031000213605886,0213605886,96,Recycle,2/25/2013 6:01
130225055852000213605882,0213605882,96,Recycle,2/25/2013 6:00
130225055701000213605885,0213605885,96,Recycle,2/25/2013 5:57
130225055614000213605883,0213605883,96,Recycle,2/25/2013 5:56
130225052203000213605880,0213605880,96,Recycle,2/25/2013 5:22
130225052053000213605879,0213605879,96,Recycle,2/25/2013 5:21
130225051907000213605863,0213605863,96,Recycle,2/25/2013 5:19
130225051733000213605862,0213605862,96,Recycle,2/25/2013 5:18
130225051653000213605858,0213605858,96,Recycle,2/25/2013 5:17
130225051616000213605871,0213605871,96,Recycle,2/25/2013 5:16
130225051445000213605870,0213605870,96,Recycle,2/25/2013 5:16
130225051411000213605873,0213605873,96,Recycle,2/25/2013 5:14
130225051335000213605872,0213605872,96,Recycle,2/25/2013 5:13
130225050400000213605869,0213605869,96,Recycle,2/25/2013 5:04
130225050323000213605866,0213605866,96,Recycle,2/25/2013 5:03
130225050245000213605868,0213605868,96,Recycle,2/25/2013 5:03
130225050207000213605860,0213605860,96,Recycle,2/25/2013 5:02
130225050132000213605865,0213605865,96,Recycle,2/25/2013 5:02
130225050051000213605859,0213605859,96,Recycle,2/25/2013 5:01
130225045939000213605867,0213605867,96,Recycle,2/25/2013 5:00
130225045907000213605864,0213605864,96,Recycle,2/25/2013 4:59
130225045841000213605861,0213605861,96,Recycle,2/25/2013 4:58
130225043947000213605857,0213605857,96,Recycle,2/25/2013 4:40
130225043844000213605856,0213605856,96,Recycle,2/25/2013 4:39
130225043758000213605855,0213605855,96,Recycle,2/25/2013 4:38
130225043713000213605854,0213605854,96,Recycle,2/25/2013 4:37
130225043632000213605853,0213605853,96,Recycle,2/25/2013 4:37
130225043554000213605851,0213605851,96,Recycle,2/25/2013 4:36
130225043454000213605850,0213605850,96,Recycle,2/25/2013 4:35
130225043419000213605852,0213605852,96,Recycle,2/25/2013 4:34
130225043349000213605849,0213605849,96,Recycle,2/25/2013 4:34
130225042523000213605848,0213605848,96,Recycle,2/25/2013 4:25
130225042358000213605843,0213605843,96,Recycle,2/25/2013 4:24
130225042324000213605847,0213605847,96,Recycle,2/25/2013 4:23
130225042248000213605844,0213605844,96,Recycle,2/25/2013 4:23
130225042213000213605846,0213605846,96,Recycle,2/25/2013 4:22
130225042133000213605845,0213605845,96,Recycle,2/25/2013 4:22
130225042036000213605841,0213605841,96,Recycle,2/25/2013 4:21
130225042003000213605842,0213605842,96,Recycle,2/25/2013 4:20
130225041932000213605840,0213605840,96,Recycle,2/25/2013 4:19
130225040849000213605826,0213605826,96,Recycle,2/25/2013 4:09
130225040807000213605839,0213605839,96,Recycle,2/25/2013 4:08
130225040733000213605838,0213605838,96,Recycle,2/25/2013 4:08
130225040553000213605837,0213605837,96,Recycle,2/25/2013 4:06
130225040515000213605832,0213605832,96,Recycle,2/25/2013 4:05
130225040429000213605835,0213605835,96,Recycle,2/25/2013 4:05
130225040238000213605834,0213605834,96,Recycle,2/25/2013 4:04
130225040135000213605833,0213605833,96,Recycle,2/25/2013 4:02
130225035958000213605831,0213605831,96,Recycle,2/25/2013 4:00
130225033433000213605827,0213605827,96,Recycle,2/25/2013 3:34
130225033251000213605819,0213605819,96,Recycle,2/25/2013 3:33
130225033207000213605828,0213605828,96,Recycle,2/25/2013 3:32
130225033054000213605824,0213605824,96,Recycle,2/25/2013 3:31
130225033022000213605822,0213605822,96,Recycle,2/25/2013 3:30
130225032733000213605825,0213605825,96,Recycle,2/25/2013 3:28
130225032628000213605823,0213605823,96,Recycle,2/25/2013 3:27
130225032544000213605820,0213605820,96,Recycle,2/25/2013 3:26
130225032503000213605821,0213605821,96,Recycle,2/25/2013 3:25
130225023507000213605645,0213605645,96,Recycle,2/25/2013 2:35
130225023432000213605809,0213605809,96,Recycle,2/25/2013 2:35
130225023355000213605791,0213605791,96,Recycle,2/25/2013 2:34
130225023314000213605795,0213605795,96,Recycle,2/25/2013 2:33
130225023120000213605808,0213605808,96,Recycle,2/25/2013 2:32
130225023033000213605803,0213605803,96,Recycle,2/25/2013 2:31
130225022910000213605794,0213605794,96,Recycle,2/25/2013 2:30
